location,subLocation,status,employeeId,username,assetType,assetMake,assetSerialNumber,assetModel,invoiceNumber,poNumber,amcInvoiceNumber,warrantyStatus,warrantyStartDate,warrantyEndDate,warrantyTenure,purchaseDate,purchaseYear,price,vendorName,contactNumber,mailId,processor,cpuSpeed,ramInstalled,hddCapacity,operatingSystem,osLicense,transactionDate,transactionCreatedDate
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CD8313J3W,HP240G6NotebookPC,NIPL/724/18-19,4500101286,,,,,,07-Sep-18,2018,"29,411.50",NETCOMINFOTECH(P)LTD,22265256/57/58,netcom@netcominfotech.in,IntelCorei3,2.30GHZ,8GB,1TB,WINDOWS10PRO(x64),LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,CND50783L8,HP250G3NotebookPC,OldAsset,OldAsset,,,,,,26-Aug-18,2015,"29,200.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI3,2.00GHZ,8GB,500GB,WINDOWS10PROx64(v2004),,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CD812BRHF,HP240G6NotebookPC,BSPL/G0324/18-19,4500095792,,,,,,28-May-18,2018,"25,899.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI36thGen,2.70GHZ,4+4GB,480GBSSD,Win10Pro,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,CND4522W5B,HPNotebook-15-r263dx,OldAsset,OldAsset,,,,,,08-Mar-15,2015,,,,,IntelCore5y10c,1.00GHZ,4GB,500GB,Windows8.1,LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG921707J,HP240G7NotebookPC,BSPL/G0570/19-20,4500113512,,,,,,18-Jul-19,2019,"25,750.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei3-7020U,2.30GHz,4GB,1TB,WINDOWS10PROx64(v1903),LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG9214GBM,HP240G7NotebookPC,BSPL/G0679/19-20,4500114343,,,,,,06-Aug-19,2019,"25,750.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei3-7020U,2.30GHz,8GB,1TB,WINDOWS10PROx64(v2004),LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CD746CC4H,HP240G6NotebookPC,BSPL/G0718/18-19,4500098744,,,,,,17-Jul-18,2018,"24,699.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI36thGen,1.70GHZ,4GB,1TB,WIndows10PRO,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,cnd5314rch,HPG3,OldAsset,OldAsset,,,,,,02-Nov-15,2015,,,,,IntelCoreI3,1.20Ghz,4GB,500GB,Windows7Pro,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP10PZU0,LenovoB40-80,OldAsset,OldAsset,,,,,,17-Feb-15,2015,"24,925.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3,2.10GHZ,8GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP10Q1ZJ,LenovoB40-80,OldAsset,OldAsset,,,,,,22-May-15,2015,"29,600.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI3,1.70GHZ,4GB,500GB,WINDOWS10PROx64(v20H2),,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,CB32338764,LenovoG40-80,OldAsset,OldAsset,,,,,,12-Feb-16,2016,"24,850.00",AcerIndiaPvtLtd,9831481033,koustav.mallik@acer.com,IntelCoreI3,2.10GHZ,4GB,500GB,Windows10Prov20H2,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,CB32954076,LenovoB40-80,OldAsset,OldAsset,,,,,,22-Aug-15,2015,"29,700.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI3,1.70GHZ,4GB,500GB,windows7professional64BIT,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP07NPHF,LenovoB40-80,OldAsset,OldAsset,,,,,,22-Aug-15,2015,"29,700.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI3,1.70GHZ,4GB,500GB,Windows7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG01357Y2,HP240G7NotebookPC,BSPL/G0140/20-21,4500123647,,,,,,22-Jun-20,2020,"25,750.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei3-8130U,2.20GHZ,4GB,1TB,Windows10Pro64Bit,LICENSED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP09DWMN,LenovoB40-80,OldAsset,OldAsset,,,,,,08-Feb-16,2016,"22,500.00",BiswasUdyog,8240360337/9862092057,raktim.mukherjee@biswasudyog.com,IntelCoreI3,1.70GhZ,4GB,500GB,Win8.1,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP123HTH,IDEAPAD100-15IBY(80MJ),N/A,OldAsset,,,,,,,2016,"24,250.00",BiswasUdyog,8240360337/9862092057,raktim.mukherjee@biswasudyog.com,INTELP-4,2.16GHZ,4GB,500GB,WINDOWS-10,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP123FWC,LENOVOIDEAPAD100-15IBY,OldAsset,OldAsset,,,,,,27-May-16,2016,,ALCOINFO-TECHPVT.LTD,,,IntelCore2Duo,2.70GHz,4GB,250GB,Windows7Pro,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP10PY0G/MP10PYG0,LenovoB40-80,OldAsset,4600019136,,,,,,27-Aug-16,2016,"29,400.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCorei3,2.00GHZ,4GB,1TB,Windows10HomeSingleLanguage,PRELOADED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,WB15327447/MTM59423728,LenovoB40-80,OldAsset,4600014539,,,,,,10-Oct-15,2015,,,,,IntelCoreI3,1.70GHZ,4GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,INA41AWCK8,HP240G4NotebookPC,OldAsset,OldAsset,,,,,,06-Mar-14,2014,"27,619.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI3,2.40GHZ,4GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG025CMXM,HP240G7NotebookPC,BSPL/G0404/20-21,4500126257,,,,,,17-Aug-20,2020,"28,100.00",BINARYSOLUTIONSPVTLTD,9830349999,saptarshi@binary.co.in,IntelCorei3-8130U,2.20GHZ,4GB,1TB,WINDOWS10PROx64(v2004),LICENSED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CD813521K,HP240G6NotebookPC,BSPL/0511/18-19,4500096393,,,,,,11-Jun-18,2018,"25,899.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI36thGen,2.70GHZ,4GB,500GB,Win10Pro,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,PF0D4DLL,LenovoB40-80,OldAsset,OldAsset,,,,,,17-Feb-15,2015,"24,925.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3,2.10GHZ,4GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,Dell,41576926141,W01B001,OldAsset,OldAsset,,,,,,14-Mar-16,2016,N/A,AcerIndiaPvtLtd,9831481033,koustav.mallik@acer.com,IntelCore2Duo,3.10GHZ,2GB,160GB,Windows7,,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,Assamble,Assamble1,Assamble,OldAsset,OldAsset,,,,,,14-Mar-16,2016,N/A,AcerIndiaPvtLtd,9831481033,koustav.mallik@acer.com,IntelCoreI3,3.20GHZ,2GB,160GB,Windows7,,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,Assamble,Assamble2,Assamble,OldAsset,OldAsset,,,,,,07-Aug-13,2013,N/A,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelPentiumDualE5500,2.80GhZ,3GB,500GB,WINDOWS7Pro,,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,Assamble,Assamble3,Assamble,OldAsset,OldAsset,,,,,,15-Feb-14,2014,"20,800.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI3,3.06GHZ,2GB,500GB,WINDOWS7Pro,,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,Assamble,Assamble4,Assamble,OldAsset,OldAsset,,,,,,18-Feb-17,2017,"64,750.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI56600,3.50GHZ,16GB,500GBSSD+1TB,WIN10Pro,,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,HP,SGH722RFHJ,HP280G2MT,OldAsset,OldAsset,,,,,,20-Jun-17,2017,,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3,2.00GHZ,4GB,500GB,WINDOWS10ENTERPRISE,PRELOADED,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,HP,INA746PRYC,HP280G3MT,BSPL/G0713/17-18,450008664,,,,,,04-Dec-17,2017,"32,400.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3-4150,3.00GHZ,8GB,500GB,Windows10Pro64BIt,PRELOADED,,
Tirumala Office,Tirumala Office,Scrap,,,Desktop,Assamble,Assamble5,Assamble,OldAsset,OldAsset,,,,,,,OldAsset,OldAsset,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,COREI3,3.20GHZ,4GB,500GB,WINDOWS-10,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,CND5235R68,HP 250 G3 Notebook PC,OldAsset,OldAsset,,,,,,"June 08, 2015",OldAsset,,,,,Core I3,,,,,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,PF0D4HFS,Lenovo G40-80,OldAsset,OldAsset,,,,,,10-12-2015,OldAsset,Old Asset,,,,Intel Core I3,2.10 GHZ,4 GB + 4 GB,500 GB SSD,WINDOWS 10 Home Single Language 64 Bit,LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG6364J3F,HP240G5NotebookPC,LAP/H.O/287,4500097495,,,,,,,2017,,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,INTELCOREI3,2.00GHZ,8GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG7361QQ9,HP 240 G5 Notebook PC,BSPL/G0436/17-18,OLD ASSET,,,,,,13-11-2017,2017,OLD Asset,,,,INTELCOREI3,2.00GHZ,8GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG6076JNN,HP240G5NotebookPC,4600019136,OldAsset,,,,,,,2017,25228,,,,IntelCoreI3,2.00GHZ,4GB,1TB,Windows7ProSP1,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG9216ZWT,HP EliteBook 745 G5 Noteboo,,OLD ASSET,,,,,,,2019,,,,,,,,,,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG6076KPX,HP240G4NotebookPC,,OLD ASSET,,,,,,,2016,OLD ASSET,,,,,,,,,,,
BCTL UNIT,BCTL UNIT,Scrap,,Scrap,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
BCTL UNIT,BCTL UNIT,Scrap,,Scrap,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
BCTL UNIT,BCTL UNIT,Scrap,,Scrap,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
BCTL UNIT,BCTL UNIT,Scrap,,Scrap,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
BCTL UNIT,BCTL UNIT,Scrap,,Scrap,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
BCTL UNIT,BCTL UNIT,Scrap,,Scrap,DESKTOP,,,,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,OUR STOCK@Skipper Unit 1,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,OUR STOCK@Skipper Unit 1,Desktop,Assemble,,,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,HP,4CE711205R,HP 280 G2 MT ,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,HP,INA748Q8QT,HP 280 G3 MT,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Desktop,assambled,,,,,,,,,,,,,,,,,,,,,,,
Jangalpur Plant,Jangalpur Plant,Scrap,,IT STOCK,Laptop,HP,5CG6326SRG,HP 240 G5 Notebook PC,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant ,Guwahati Plant ,Scrap,,IT STOCK,Laptop,Lenovo,MP10618E,Lenovo B40-80,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant ,Guwahati Plant ,Scrap,,IT Stock,Laptop,Lenovo,MP1240YH,Lenovo B40-80,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant ,Guwahati Plant ,Scrap,,IT Stock,Laptop,Lenovo,MP08H371,Lenovo B40-80,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant ,Guwahati Plant ,Scrap,,IT STOCK,Laptop,Acer,NXG80SI01154001B674P00,Z1402-P09Q,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant ,Guwahati Plant ,Scrap,,Laptop not in Usable condition (Motherboard damage),Laptop,Lenovo,IT,MP12DEYQ,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant ,Guwahati Plant ,Scrap,,IT STOCK,Laptop,Acer,NXG80S1011540016FB4P00,Z1402-P09Q,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant ,Guwahati Plant ,Scrap,,IT STOCK,Laptop,HP,5CG5532HLB,HP 240 G4 Notebook PC,,,,,,,,,,,,,,,,,,,,,
Guwahati Plant,Guwahati Plant,Scrap,,IT Stock,Laptop,HP,CND5314QVB,HP 250 G3,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK(Laptop is in Dead Condition),Laptop,Lenovo,CB32952818,Lenovo B40-70,,Asset Scrap not woking,,AMC Not required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK(Laptop is in Dead Condition),Laptop,Lenovo,MP07NPFK,B40-80,,Asset Scrap not woking,,AMC Not required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,"OUR STOCK(Laptop is in Dead Condition, Battery & Motherboard damage)",Laptop,HP,CND5235PGY,HP 250 G3 Notebook PC,,Asset Scrap not woking,,AMC not required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,"OUR STOCK@Tirumala Office(Keypad, Battery & Touchpad issue)",Laptop,HP,5CG6326M11,HP 240 G5 Notebook PC,,Asset Scrap not woking,,AMC not required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK not in usable condition,Laptop,Toshiba,6E036298Q,Toshiba Satellite Pro,,Asset Scrap not woking,,AMC not required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK (Plastic Part Broken),Laptop,HP,CND7315VKZ,HP 250 G6 Notebook PC,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK (Plastic Part Broken),Laptop,HP,CND7315WJ4,HP 250 G6 Notebook PC,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK(Not in Usable Condition),Laptop,Lenovo,MP11YFNX,Lenovo B40-80,,Asset Scrap Not Working,,AMC Not required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK (Laptop Damage not in usable cndition),Laptop,HP,INA237PBKN,HP 450,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK (Laptop Damage not in usable cndition),Laptop,Compaq,CNU9367R51,Compaq 610,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK (Laptop Damage not in usable cndition),Laptop,Lenovo,WB0407100L,Lenovo Flex 2-14,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK (Laptop Damage not in usable cndition),Laptop,Sony,JW2QLP1,VOSTRO 1450,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,SCRAP,Laptop,Toshiba,RTL8723AE,Toshiba Satellite Pro,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,"OUR STOCK (Laptop Damage not in usable cndition, motherboard not repairable)",Laptop,LENOVO,MP07D1MT,LENOVO B40-80,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,OUR STOCK (Laptop Damage not in usable cndition),Laptop,Lenovo,MP11YFNk,Lenovo B40-80,,Asset Scrap not woking,,AMC Not Required,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,Laptop Dead Not in usable condition,Laptop,HP,CND52127F,HP 430 Notebook PC,,Asset Scrap not woking,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,Laptop not in usable condition (Motherboard damage),Laptop,Lenovo,WB15065544,Lenovo Flex 2 20404,,Old Laptop of Vinod Abhichandani,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,SCRAP,Desktop,Assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,SCRAP,Desktop,Assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,SCRAP,Desktop,Assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,SCRAP,Desktop,Assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,SCRAP,Desktop,Assambled,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,Acer,MXG80SIO115400147B4P00,Acer Extensa 15,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,HP,CND44639KN,HP ProBook 430 G2 Notebook PC (ENERGY STAR),,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,Acer,UNG80SI005F3996299,Acer One 14,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,Dell,CVT4532,DELL INSPIRON 15,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,Lenovo,MP14FYZS,Lenovo B50-80,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,Acer,NXEG8SI001105034513400,ACER 19C1D,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,HP,CND4522W5B,HP Notebook - 15-r263dx (ENERGY STAR),,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,HP,,HP 240,,,,,,,,,,,,,,,,,,,,,
Head Office,Head Office,Scrap,,IT STOCK,Laptop,DELL,64ZP9G3,Dell Latitude 3520,BSPL/G1498/21-22,,,AMC,01-Apr-24,31-Mar-25,1,06-Dec-21,2021,"53,600.00",Binary Solution Pvt Ltd,,,,,8 GB,512GB+256GB SSD,Windows 10 Pro,Preloaded,,
SALTLAKE,SALTLAKE,Scrap,,OUR STOCK (Not in usable Condition),Laptop,LENOVO,MP11YCJS,LAP/HO/180,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,OUR STOCK@Saltlake Office (Un used),Laptop,LENOVO,MP10Q6PH,Lenovo B40-80,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,OUR Stock@Saltlake Office (Palstic Part Broken not in usable condition),Laptop,ACER,NXG80S106608040124P00,Acer One14,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,Our Stock@Saltlake (unsued),Laptop,,PF0D4HFS,,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,IT Stock(Unused),Laptop,HP,5CG629644Y,HP 240 G5,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,OUR STOCK@Saltlake Office (UN used),Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,OUR STOCK@Saltlake Office (Scarp),Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,OUR STOCK@Saltlake Office (Un used),Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,OUR STOCK@Saltlake Office (Un used),Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,OUR STOCK@Saltlake Office(Unused),Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,DEAD (MOTHERBOARD POWER SUPPLY ISSUE),Laptop,ACER,UNG80SI005F3996422,,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,Basudev Sarkar,Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,Bikram Majee,Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,Antivirus Console,Desktop,ASSAMBLED,ASSAMBLED,N/A,,,,,,,,,,,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,IT STOCK,Laptop,LENOVO,MP07QEJM,Lenovo B40-80,,,,,4600019136,2015,,,,"29,700.00",,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,IT STOCK,Laptop,TOSHIBA,XD406995Q,SATELLITE PRO B40-A,,,,,4600019136,2016,,,,"29,800.00",,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,IT STOCK,Laptop,LENOVO,MP11R77N,Lenovo B 41 - 80,,,,,4600019136,2016,,,,"32,850.00",,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,SanjayKumar (SKPL03597),Not in use,Assistant Manager - Commercial,TowerProject,Desktop,,,,,FD790400,AMC,,,,01-Apr-22,,,,,,,,,,,
SALTLAKE,SALTLAKE,Scrap,,JoydeepKarar (SKPL03047),Not in use,Accounts officer,Tower-Project,Desktop,,,,,,AMC,,,,01-Apr-22,,,,,,,,,,,
