location,subLocation,status,employeeId,username,assetType,assetMake,assetSerialNumber,assetModel,invoiceNumber,poNumber,amcInvoiceNumber,warrantyStatus,warrantyStartDate,warrantyEndDate,warrantyTenure,purchaseDate,purchaseYear,price,vendorName,contactNumber,mailId,processor,cpuSpeed,ramInstalled,hddCapacity,operatingSystem,osLicense,transactionDate,transactionCreatedDate
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Server,HP,CN77500HP6,ProLiantML10Gen9,4.50E+09,N/A,Warranty,AMC,10-Jul-18,09-Jul-21,3,10-Jul-18,2018,40800,,9830349999,IntelXeonE3-1225V5,3.30GHZ,1TB,WindowsServer2012R2,8GB,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD335JXGV,HPPROBOOK440G9,BSPL/G2384/23-24,4500186796,NA,Warranty,13-Jan-24,12-Jan-27,3,13-Jan-24,2024,72500,BinarySolutionPvtLtd,9830267424,saptarshi@binary.co.in,IntelCoreI5,4.4.00GHz,16GB,1TB,Windows11pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD335JXGH,HPPROBOOK440G9,BSPL/G2580/23-24,4500188073,NA,Warranty,08-Feb-24,07-Feb-27,3,08-Feb-24,2024,72500,BinarySolutionPvtLtd,9830267424,saptarshi@binary.co.in,IntelCoreI5,4.4.00GHz,16GB,1TB,Windows11pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CG931778Q,HP240G7NotebookPC,BSPL/G1080/19-20,4500116972,,,24-Oct-19,23-Oct-22,,24-Oct-19,2019,"25,750.00",BinarySolutionPvtLtd,9830267424,saptarshi@binary.co.in,IntelCorei3-7020U,2.30GHz,4GB+4GB,1TB,WINDOWS10PROx64(v1903),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD73206WJ,HP240G6NotebookPC,BSPL/G0346/17-18,4500083182,NA,NO AMC,01-Apr-22,31-Mar-24,1,26-Sep-17,2017,"25,899.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3,2.00GHZ,8GB,500GB,WINDOWS10PRO64BIT,,,
Tirumala Office,Tirumala Office,Defective under repair,,,Laptop,Dell,B73BWZ2,DellLatitude3400,BSPL/G0295/20-21,4500125272,,NoWarranty,30-Jun-20,30-Sep-23,3,27-Jul-20,2020,"32,550.00",BinarySolutionPvtLtd,9830267424,saptarshi@binary.co.in,IntelCorei3-8145U,2.30GHz,4GB,1TB,Windows10Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD75144PP,HP240G6NotebookPC,,4500091593,,AMC,01-Apr-22,31-Mar-23,1,05-Mar-18,2018,"25,899.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI36thGen,2.00GHZ,4GB,1TB,WINDOWS10PRO64BIT,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,Dell,3K4WMX3,DellLattitude3430,BSPL/G0136/24-25,4500192063,,Warranty,18-Apr-24,17-Apr-27,3,18-Apr-24,2024,"55,000.00",BinarySolutionPvtLtd,9830267424,saptarshi@binary.co.in,IntelCorei5-1245U,4.00Ghz,16GB,512GBNVM,Win11Pro,,,
Tirumala Office,Tirumala Office,StockConditionNotVerified,,,Laptop,HP,5CG9216XTK,HP240G7NotebookPC,BSPL/G0570/19-20,4500113512,,,18-Jul-19,17-Jul-22,3,18-Jul-19,2019,"25,750.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei3-7020U,2.30GHz,4GB,1TB,WINDOWS10PROx64(v1903),LICENCED,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CG3385SH5,HP245G9Notebook,NIPL2425-0133,4500192728,,Warranty,13-05-2024,05-Dec-27,3,13-05-2024,2024,"58,056.00",NetcomInfotech(p)Ltd,,koustavdas@netcominfotech.in,AMDRyzen5,2300Ghz,16GB,512GB,Windows11Pro,LICENCED,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3523VHG,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5cd35235lv4,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4035LWB,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4035LV8,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4088MXX,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3523VVJ,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3523VLQ,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4084WST,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4084WVD,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD344B1B1,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD33858TK,HP PROBOOK 440 G9,BSPL/G0640/24-25,4500195212,2024,Warranty,18-06-2024,17-Jun-27,3,16-Jun-24,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD812BRR4,HP240G6NotebookPC,BSPL/G0172/18-19,4500094932,2018,AMC,01-Apr-22,31-Mar-23,1,09-May-18,2018,25899,AccelITServicesPvtLtd,,imssupport@accelits.com,IntelCoreI3,2.00GHZ,4+4GB,480GBSSD,WINDOWS10PROx64(v20H2),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMQX,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMQR,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMNC,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4125PKM,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD41291S0,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JN13,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD413DHV9,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD41291V5,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMQ1,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMR9,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMRZ,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4125PJZ,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4125PKF,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMRJ,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD411JMRV,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD42345K3,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD42345MC,HP PROBOOK 440 G9,BSPL/G0957/24-25,4500197298,2024,Warranty,20-07-2024,19-07-2027,3,20-07-2024,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ6M,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,PT2TQ-KNJJY-PB2X7-M68C4-CR4TG,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ6C,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,93TBP-NKKT7-QHGXW-F67JT-GMVJ6,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ6J,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,B8CKR-NPD83-2M2HK-VQFV8-DGP2T,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ5B,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,QB3RC-4VN7V-DXCDF-F6YTX-YDXCT,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ83,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,NB32J-4KYV7-J83DV-X6MM4-3DB6G,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ6H,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,NRJRV-TWVYV-H39K7-VGC9H-QPFTG,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ56,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,RV9RG-DYN3G-DXY6D-WB66M-F9C2T,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ7C,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,7JTYN-BYWM7-TJD37-GK26V-B7WGG,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD423GZ6P,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,WNHVJ-DRWYQ-3WBQ2-26DR6-V6DW6,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3270XHJ,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,FCQBR-N6GFM-2F3QV-MBTJV-HXM6G,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3270XLG,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,W46GG-NB67V-63R9K-XJY6H-X77J6,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3270X7K,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,MFG82-NV3D2-YQPT8-M34WX-66P2T,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3270X8H,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,X4CXN-MKK96-3MDQV-J6KWT-9KX86,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD3270XCC,HP PROBOOK 440 G9,BSPL/G1269/24-25,4500199304,2024,Warranty,22-08-2024,21-08-2027,3,22-08-2024,2024,"75,000.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei7-1255U,4.4Ghz,16GB ,512 GB,Win11Pro,HW3BM-NQJ8G-R9GX2-6YMCV-FJRTG,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD42630BV,HP PROBOOK 440 G9,BSPL/G1464/24-25,4500200727,2024,Warranty,16-09-2024,15-09-2027,3,16-09-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD42630BH,HP PROBOOK 440 G9,BSPL/G1464/24-25,4500200727,2024,Warranty,16-09-2024,15-09-2027,3,16-09-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD42630BV,HP PROBOOK 440 G9,BSPL/G1464/24-25,4500200727,2024,Warranty,16-09-2024,15-09-2027,3,16-09-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4263070,HP PROBOOK 440 G9,BSPL/G1464/24-25,4500200727,2024,Warranty,16-09-2024,15-09-2027,3,16-09-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD42630C3,HP PROBOOK 440 G9,BSPL/G1464/24-25,4500200727,2024,Warranty,16-09-2024,15-09-2027,3,16-09-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD4263LQX,HP PROBOOK 440 G9,BSPL/G1464/24-25,4500200727,2024,Warranty,16-09-2024,15-09-2027,3,16-09-2024,2024,"67,740.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCorei5-1235U,4.4Ghz,16GB ,512 GB,Win11Pro,,,
